,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.37,-73.41,298.15,60,20,3.1,US,1594919421
1,Monte Patria,-30.69,-70.95,296.29,19,2,2.12,CL,1594919620
2,Chesma,53.81,60.65,295.15,64,0,2.69,RU,1594919620
3,Oriximiná,-1.77,-55.87,306.35,46,0,3.06,BR,1594919620
4,Saskylakh,71.92,114.08,282.98,58,100,9.75,RU,1594919620
5,Butaritari,3.07,172.79,301.72,63,83,3.91,KI,1594919530
6,Miles City,46.41,-105.84,300.15,30,1,2.6,US,1594919362
7,Tazovsky,67.47,78.7,280.41,85,85,4.8,RU,1594919026
8,San Cristobal,7.77,-72.22,305.15,40,20,8.7,VE,1594919610
9,Jamestown,42.1,-79.24,295.93,94,90,2.6,US,1594919490
10,Qaanaaq,77.48,-69.36,280.03,76,67,2.84,GL,1594919620
11,San Patricio,19.22,-104.7,305.15,75,40,5.1,MX,1594919621
12,Busselton,-33.65,115.33,285.37,88,54,5.16,AU,1594919621
13,Lata,40.16,-8.33,311.48,40,0,5.35,PT,1594919621
14,Tuktoyaktuk,69.45,-133.04,285.15,58,75,6.7,CA,1594919552
15,Castelo,-20.6,-41.18,293.33,75,91,1.86,BR,1594919622
16,Havre-St-Pierre,50.23,-63.6,295.15,46,1,5.1,CA,1594919622
17,Severo-Kuril'sk,50.68,156.12,282.63,92,53,2.14,RU,1594919623
18,Nuuk,64.18,-51.72,286.15,71,20,3.1,GL,1594919567
19,Yongzhou,26.46,111.6,299.93,76,100,2.11,CN,1594919623
20,Mbandaka,0.05,18.26,296.92,81,100,0.68,CD,1594919624
21,Kadugannawa,7.25,80.52,294.16,89,100,1.44,LK,1594919624
22,Plettenberg Bay,-34.05,23.37,287.81,45,15,2.81,ZA,1594918778
23,Poum,-20.23,164.02,294.1,60,0,4.62,NC,1594919029
24,Kirakira,-10.45,161.92,297.83,82,84,3.21,SB,1594919624
25,Sheridan,44.83,-106.92,301.48,21,1,6.2,US,1594919059
